,Log_Negativity,Coherent_Information,Entangling_Capability,Effective_Dimension,Expressibility,Performance
159,-1.39E-07,2.17E-17,1.200815317,,64.99710596,0.01
160,3.97E-08,-3.30E-17,1.204600726,,17.30858633,0.059999999
161,-1.39E-07,5.72E-17,1.210979861,3.227544392,96.21438577,0.01
162,-6.86E-08,-7.77E-17,1.213347743,,86.10854571,0.02
163,-6.86E-08,-5.55E-17,1.202151556,,63.47274719,0.029999999
164,3.97E-08,-1.99E-17,1.206590596,,15.28101027,0.029999999
165,-6.86E-08,-7.20E-17,1.211162598,3.233394552,92.00681397,0.029999999
166,8.82E-09,-5.00E-17,1.203007852,,10.54055595,0.01
167,8.82E-09,2.95E-17,1.198829114,,14.32055414,0.029999999
168,3.97E-08,1.21E-17,1.202592938,,14.23960391,0.029999999
169,8.82E-09,-4.86E-17,1.206619762,3.231931079,15.14359522,0.029999999
170,-4.75E-07,-1.11E-17,1.207822756,,96.95954992,0.02
171,-4.75E-07,1.99E-17,1.202551866,,56.888889,0.02
172,3.97E-08,-3.47E-18,1.207121105,,16.06657702,0.039999999
173,-4.75E-07,1.73E-17,1.207833468,3.233196914,101.8605583,0.029999999
174,2.68E-07,-4.44E-17,1.208541183,,24.01393641,0.01
175,2.68E-07,1.56E-17,1.204322745,,15.62317825,0.01
176,3.97E-08,2.17E-17,1.208557366,,15.61398768,0.029999999
177,2.68E-07,-1.91E-17,1.207007747,3.231942932,14.3163498,0.029999999
178,-7.34E-08,8.88E-17,1.203320076,,122.0830814,0.02
179,-7.34E-08,5.38E-17,1.20661855,,52.35328434,0.02
180,3.97E-08,1.65E-17,1.212051923,,15.29558865,0.01
181,-7.34E-08,3.82E-17,1.20729439,3.234239825,85.4686414,0
182,-1.17E-07,-1.67E-17,1.207457072,,124.6873887,0.059999999
183,-1.17E-07,6.94E-18,1.201567256,,52.48483755,0.01
184,3.97E-08,5.03E-17,1.205992817,,15.30739653,0.059999999
185,-1.17E-07,1.73E-18,1.207054989,3.227198832,101.921311,0.109999999
186,-1.27E-07,5.55E-18,1.192838503,,88.07661736,0.090000004
187,-1.27E-07,0,1.187372578,,259.8512833,0.150000006
188,-1.27E-07,0,1.200191109,,156.8608247,0.090000004
189,-1.27E-07,-2.33E-17,1.207054459,,114.1128151,0.079999998
190,-1.27E-07,-3.61E-17,1.206235866,,101.3372965,0.090000004
191,-1.27E-07,-4.07E-17,1.208756221,,87.31474432,0.100000001
192,-1.27E-07,-5.03E-17,1.208093621,,80.62372951,0.100000001
193,-1.27E-07,-4.55E-17,1.208017219,,69.61635074,0.119999997
194,-1.27E-07,-3.86E-17,1.20217147,,73.50695239,0.109999999
195,-1.27E-07,-2.05E-17,1.198726355,,74.50622267,0.159999996
196,-1.27E-07,-3.20E-17,1.199043657,,75.90776423,0.090000004
197,-1.27E-07,-3.91E-17,1.202930363,,71.32981599,0.129999995
198,-1.27E-07,-5.68E-17,1.203563653,,60.66135182,0.119999997
199,-1.27E-07,-5.09E-17,1.202378734,,70.80609953,0.119999997
200,-1.27E-07,-5.22E-17,1.197943918,,77.42789562,0.150000006
201,-1.27E-07,-2.67E-17,1.196318432,,76.41230917,0.079999998
202,-1.27E-07,-4.39E-17,1.198994859,,82.09237857,0.109999999
203,-1.27E-07,-1.46E-17,1.198330398,,94.05607896,0.159999996
204,-1.27E-07,-3.92E-17,1.212127296,,95.10111262,0.119999997
205,-1.27E-07,-2.08E-17,1.207774129,,105.0552611,0.170000002
206,-1.27E-07,-2.22E-17,1.209319603,,104.7303508,0.129999995
207,-1.27E-07,-3.70E-17,1.201557529,,86.27065639,0.100000001
208,-1.27E-07,-7.77E-17,1.211417701,,106.2901093,0.029999999
209,-1.27E-07,-5.55E-17,1.205229945,,80.8071883,0.129999995
210,-1.27E-07,-3.08E-17,1.207869555,,81.59377329,0.090000004
211,-1.27E-07,-6.25E-17,1.215813633,,94.86903889,0.100000001
212,-1.27E-07,-6.34E-17,1.199200557,,85.46038922,0.07
213,-1.27E-07,-2.38E-17,1.197752441,,76.09062392,0.109999999
214,-1.27E-07,-7.14E-17,1.192338117,,86.80274844,0.109999999
215,-1.27E-07,-5.55E-17,1.18638134,,93.79232783,0.07
216,-1.27E-07,0,1.167618045,,135.9453238,0.109999999
217,-1.27E-07,0,1.177329054,,133.3460219,0.159999996
218,-1.27E-07,0,1.187040062,,131.0932937,0.150000006
219,-1.27E-07,-5.55E-17,1.182524143,,133.3460219,0.129999995
220,-1.27E-07,3.70E-17,1.183687508,,146.948424,0.100000001
221,-1.27E-07,-3.70E-17,1.190614294,,146.948424,0.07
222,-1.27E-07,-3.70E-17,1.190614294,,146.948424,0.129999995
223,-1.27E-07,-9.25E-17,1.190308161,,91.79609731,0.079999998
224,-1.27E-07,-8.33E-17,1.206335395,,128.2516181,0.100000001
225,-1.27E-07,-8.33E-17,1.206335395,,128.2516181,0.119999997
